2,2,100,1,GDOP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time_ms,Pos_X,Pos_Y,Pos_Z,Vel_X,Vel_Y,Vel_Z,Acc_X,Acc_Y,Acc_Z,Jerk_X,Jerk_Y,Jerk_Z,Lat,Long,Height,Heading,Elevation,Bank,Ang-vel_X,Ang-vel_Y,Ang-vel_Z,Ang-acc_X,Ang-acc_Y,Ang-acc_Z,Ant1_Pos_X,Ant1_Pos_Y,Ant1_Pos_Z,Ant1_Vel_X,Ant1_Vel_Y,Ant1_Vel_Z,Ant1_Acc_X,Ant1_Acc_Y,Ant1_Acc_Z,Ant1_Lat,Ant1_Long,Ant1_Height,Ant1_DOP
4600,-713370.6875,-4045538.896,4862946.301,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.87266973,-1.74533717,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713370.6875,-4045538.896,4862946.301,-6.023,6.5624,4.5452,0,0,0,0.87266973,-1.74533717,178,2.295
4700,-713371.2898,-4045538.24,4862946.756,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872669841,-1.745337342,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713371.2898,-4045538.24,4862946.756,-6.023,6.5624,4.5452,0,0,0,0.872669841,-1.745337342,178,2.295
4800,-713371.8921,-4045537.584,4862947.211,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872669952,-1.745337514,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713371.8921,-4045537.584,4862947.211,-6.023,6.5624,4.5452,0,0,0,0.872669952,-1.745337514,178,2.295
4900,-713372.4944,-4045536.928,4862947.665,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872670063,-1.745337686,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713372.4944,-4045536.928,4862947.665,-6.023,6.5624,4.5452,0,0,0,0.872670063,-1.745337686,178,2.295
5000,-713373.0967,-4045536.271,4862948.12,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872670174,-1.745337859,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713373.0967,-4045536.271,4862948.12,-6.023,6.5624,4.5452,0,0,0,0.872670174,-1.745337859,178,2.295
5100,-713373.699,-4045535.615,4862948.574,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872670285,-1.745338031,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713373.699,-4045535.615,4862948.574,-6.023,6.5624,4.5452,0,0,0,0.872670285,-1.745338031,178,2.295
5200,-713374.3013,-4045534.959,4862949.029,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872670395,-1.745338203,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713374.3013,-4045534.959,4862949.029,-6.023,6.5624,4.5452,0,0,0,0.872670395,-1.745338203,178,2.295
5300,-713374.9036,-4045534.303,4862949.483,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872670506,-1.745338375,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713374.9036,-4045534.303,4862949.483,-6.023,6.5624,4.5452,0,0,0,0.872670506,-1.745338375,178,2.295
5400,-713375.5059,-4045533.646,4862949.938,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872670617,-1.745338547,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713375.5059,-4045533.646,4862949.938,-6.023,6.5624,4.5452,0,0,0,0.872670617,-1.745338547,178,2.295
5500,-713376.1082,-4045532.99,4862950.392,-6.023,6.5624,4.5452,0,0,0,0,0,0,0.872670728,-1.745338719,178,-0.785398163,0,0,0,-0.000002,0.000001,0,0,0,-713376.1082,-4045532.99,4862950.392,-6.023,6.5624,4.5452,0,0,0,0.872670728,-1.745338719,178,2.295
